2.048748099101130868e-04,9.150890508967387538e-01,8.153693542814303974e-02
2.981501964477547206e-04,1.242401146176676631e-03,9.991133388861144216e-01
8.771183977874926763e-01,5.641759546681240738e-03,1.411322444146541066e-01
5.145128282243388584e-01,6.936680046654983452e-03,4.886546887663348882e-01
2.634018175810645332e-02,4.579790297138537874e-04,9.654529437217908017e-01
4.854611211289485140e-01,7.017659717326759500e-03,5.154890035410869542e-01
2.048750446899804550e-04,9.150888663721046257e-01,8.153711707299647615e-02
8.783170991393163263e-01,5.634933351022594628e-03,1.398872920161967626e-01
8.313615325235156339e-01,5.872683428126329597e-03,1.878112762359813448e-01
3.164143098920730451e-04,8.141220212643868193e-01,1.821013555725504163e-01
8.783170363131175273e-01,5.634933710094531742e-03,1.398873573000107284e-01
9.873627469922087174e-01,6.186900370703723312e-03,1.724806051360308276e-02
3.740186919607370042e-01,4.456941734218285850e-03,6.274631821808031029e-01
9.873627469922084954e-01,6.186900370703777088e-03,1.724806051360353726e-02
8.060217925237680991e-02,1.608405256979240222e-02,8.576465369795639448e-01
2.946087718527392368e-05,9.655624047354294248e-01,2.579777193168501792e-02
4.869243710660921542e-01,7.020065894006256857e-03,5.141202512785052470e-01
9.108870939325288685e-01,7.710805724554945818e-03,1.029057725830144487e-01
1.000143071441448361e-05,9.098571767190262172e-01,7.133043887905518576e-02
1.133941125404605392e-02,1.999669042598333640e-02,9.752335870493302750e-01
1.133941125397422249e-02,1.999669042613793496e-02,9.752335870491573022e-01
8.782554796446185863e-01,5.635285460404399795e-03,1.399513202253903910e-01
9.873627462827885282e-01,6.186900356906429276e-03,1.724806141447341942e-02
9.873627469922087174e-01,6.186900370703723312e-03,1.724806051360309664e-02
1.793023659206318201e-04,9.891101918043998520e-01,5.415051338341474348e-03
2.063155587155615742e-04,9.201481910036385381e-01,7.516581641064001840e-02
2.396821118759490804e-02,4.306726412804673669e-04,9.681649375376896183e-01
8.783161134379353641e-01,5.634938984606036386e-03,1.398883162754723519e-01
8.665547079986313239e-01,5.072649974251820099e-03,1.531786364738829120e-01
1.666483827102440644e-04,9.886058514927814622e-01,5.767537450930456701e-03
9.853824390962689916e-01,6.151189112029634316e-03,1.974907699724468002e-02
1.146592552109375503e-02,1.997272773877184493e-02,9.749821431097439595e-01
1.980400190327255838e-01,1.847971877350150765e-03,8.037370960396620356e-01
9.873627469325506611e-01,6.186900373904174501e-03,1.724806058841003159e-02
8.880102411457516665e-01,5.655756158337897112e-03,1.296471538832602022e-01
1.927270583545091722e-04,9.117453392521368549e-01,8.494992135981815906e-02
8.783170991385862436e-01,5.634933351026744953e-03,1.398872920169545453e-01
3.070280636039787210e-05,9.670904111087357258e-01,2.472333070342391456e-02
1.977535035983022105e-01,1.845870152808983455e-03,8.039843113582560985e-01
6.332115039915583998e-02,1.653868469546573156e-02,8.845047010891267103e-01
4.856848025980995964e-01,7.023837793376328832e-03,5.152642701140884851e-01
